Location,Year,Age,Sex,Cause of death or injury,Measure,Value
Global,2017,All ages,Both,Other neglected tropical diseases,Percent of total deaths,0.0224517
Global,2017,All ages,Both,Maternal disorders,Percent of total deaths,0.34610650000000004
Global,2017,All ages,Both,Neonatal disorders,Percent of total deaths,3.1883669
Global,2017,All ages,Both,Protein-energy malnutrition,Percent of total deaths,0.41427850000000005
Global,2017,All ages,Both,Iodine deficiency,Percent of total deaths,0
Global,2017,All ages,Both,Vitamin A deficiency,Percent of total deaths,0
Global,2017,All ages,Both,Dietary iron deficiency,Percent of total deaths,0
Global,2017,All ages,Both,Other nutritional deficiencies,Percent of total deaths,0.06832780000000001
Global,2017,All ages,Both,Sexually transmitted infections excluding HIV,Percent of total deaths,0.2128562
Global,2017,All ages,Both,Acute hepatitis,Percent of total deaths,0.225918
Global,2017,All ages,Both,Leprosy,Percent of total deaths,0
Global,2017,All ages,Both,Other unspecified infectious diseases,Percent of total deaths,0.1416918
Global,2017,All ages,Both,Esophageal cancer,Percent of total deaths,0.7792472
Global,2017,All ages,Both,Stomach cancer,Percent of total deaths,1.5461213999999999
Global,2017,All ages,Both,Liver cancer,Percent of total deaths,1.4646816999999999
Global,2017,All ages,Both,Larynx cancer,Percent of total deaths,0.22605989999999998
Global,2017,All ages,Both,"Tracheal, bronchus, and lung cancer",Percent of total deaths,3.3658852
Global,2017,All ages,Both,Breast cancer,Percent of total deaths,1.0932407
Global,2017,All ages,Both,Cervical cancer,Percent of total deaths,0.4641428
Global,2017,All ages,Both,Uterine cancer,Percent of total deaths,0.1523601
Global,2017,All ages,Both,Prostate cancer,Percent of total deaths,0.7434264
Global,2017,All ages,Both,Colon and rectum cancer,Percent of total deaths,1.6016364
Global,2017,All ages,Both,Lip and oral cavity cancer,Percent of total deaths,0.34622020000000003
Global,2017,All ages,Both,Nasopharynx cancer,Percent of total deaths,0.1243158
Global,2017,All ages,Both,Other pharynx cancer,Percent of total deaths,0.2098673
Global,2017,All ages,Both,Gallbladder and biliary tract cancer,Percent of total deaths,0.31097189999999997
Global,2017,All ages,Both,Pancreatic cancer,Percent of total deaths,0.7884182999999999
Global,2017,All ages,Both,Malignant skin melanoma,Percent of total deaths,0.11022549999999999
Global,2017,All ages,Both,Non-melanoma skin cancer,Percent of total deaths,0.1163586
Global,2017,All ages,Both,Ovarian cancer,Percent of total deaths,0.31455900000000003
Global,2017,All ages,Both,Testicular cancer,Percent of total deaths,0.013694999999999999
Global,2017,All ages,Both,Kidney cancer,Percent of total deaths,0.2476116
Global,2017,All ages,Both,Bladder cancer,Percent of total deaths,0.35132
Global,2017,All ages,Both,Brain and nervous system cancer,Percent of total deaths,0.4417517
Global,2017,All ages,Both,Thyroid cancer,Percent of total deaths,0.07370550000000001
Global,2017,All ages,Both,Mesothelioma,Percent of total deaths,0.0534608
Global,2017,All ages,Both,Hodgkin lymphoma,Percent of total deaths,0.058197399999999996
Global,2017,All ages,Both,Non-Hodgkin lymphoma,Percent of total deaths,0.444425
Global,2017,All ages,Both,Multiple myeloma,Percent of total deaths,0.1914622
Global,2017,All ages,Both,Leukemia,Percent of total deaths,0.621293
Global,2017,All ages,Both,Other malignant neoplasms,Percent of total deaths,0.6426706
Global,2017,All ages,Both,Other neoplasms,Percent of total deaths,0.1839678
Global,2017,All ages,Both,Rheumatic heart disease,Percent of total deaths,0.5103489999999999
Global,2017,All ages,Both,Ischemic heart disease,Percent of total deaths,15.962665900000001
Global,2017,All ages,Both,Stroke,Percent of total deaths,11.0237083
Global,2017,All ages,Both,Hypertensive heart disease,Percent of total deaths,1.6546049999999999
Global,2017,All ages,Both,Cardiomyopathy and myocarditis,Percent of total deaths,0.6587431
Global,2017,All ages,Both,Atrial fibrillation and flutter,Percent of total deaths,0.5134375
Global,2017,All ages,Both,Aortic aneurysm,Percent of total deaths,0.2989507
Global,2017,All ages,Both,Peripheral artery disease,Percent of total deaths,0.1254251
Global,2017,All ages,Both,Endocarditis,Percent of total deaths,0.1490573
Global,2017,All ages,Both,Non-rheumatic valvular heart disease,Percent of total deaths,0.2589317
Global,2017,All ages,Both,Other cardiovascular and circulatory diseases,Percent of total deaths,0.6446419
Global,2017,All ages,Both,Chronic obstructive pulmonary disease,Percent of total deaths,5.7159165
Global,2017,All ages,Both,Pneumoconiosis,Percent of total deaths,0.0385221
Global,2017,All ages,Both,Asthma,Percent of total deaths,0.8849055
Global,2017,All ages,Both,Interstitial lung disease and pulmonary sarcoidosis,Percent of total deaths,0.26390210000000003
Global,2017,All ages,Both,Other chronic respiratory diseases,Percent of total deaths,0.093208
Global,2017,All ages,Both,Cirrhosis and other chronic liver diseases,Percent of total deaths,2.3645461
Global,2017,All ages,Both,Appendicitis,Percent of total deaths,0.07854799999999999
Global,2017,All ages,Both,Paralytic ileus and intestinal obstruction,Percent of total deaths,0.4298632
Global,2017,All ages,Both,"Inguinal, femoral, and abdominal hernia",Percent of total deaths,0.0789295
Global,2017,All ages,Both,Inflammatory bowel disease,Percent of total deaths,0.069047
Global,2017,All ages,Both,Vascular intestinal disorders,Percent of total deaths,0.1716876
Global,2017,All ages,Both,Gallbladder and biliary diseases,Percent of total deaths,0.19757960000000002
Global,2017,All ages,Both,Pancreatitis,Percent of total deaths,0.181638
Global,2017,All ages,Both,Other digestive diseases,Percent of total deaths,0.156006
Global,2017,All ages,Both,Alzheimer's disease and other dementias,Percent of total deaths,4.4947927
Global,2017,All ages,Both,Parkinson's disease,Percent of total deaths,0.608877
Global,2017,All ages,Both,Epilepsy,Percent of total deaths,0.23278790000000002
Global,2017,All ages,Both,Multiple sclerosis,Percent of total deaths,0.0369203
Global,2017,All ages,Both,Motor neuron disease,Percent of total deaths,0.060896
Global,2017,All ages,Both,Other neurological disorders,Percent of total deaths,0.096427
Global,2017,All ages,Both,Schizophrenia,Percent of total deaths,0
Global,2017,All ages,Both,Alcohol use disorders,Percent of total deaths,0.3305613
Global,2017,All ages,Both,Drug use disorders,Percent of total deaths,0.297813
Global,2017,All ages,Both,Depressive disorders,Percent of total deaths,0
Global,2017,All ages,Both,Bipolar disorder,Percent of total deaths,0
Global,2017,All ages,Both,Anxiety disorders,Percent of total deaths,0
Global,2017,All ages,Both,Eating disorders,Percent of total deaths,5.83562832E-4
Global,2017,All ages,Both,Autism spectrum disorders,Percent of total deaths,0
Global,2017,All ages,Both,Attention-deficit/hyperactivity disorder,Percent of total deaths,0
Global,2017,All ages,Both,Conduct disorder,Percent of total deaths,0
Global,2017,All ages,Both,Idiopathic developmental intellectual disability,Percent of total deaths,0
Global,2017,All ages,Both,Other mental disorders,Percent of total deaths,0
Global,2017,All ages,Both,Diabetes mellitus,Percent of total deaths,2.4485445
Global,2017,All ages,Both,Acute glomerulonephritis,Percent of total deaths,0.019988
Global,2017,All ages,Both,Chronic kidney disease,Percent of total deaths,2.1988669
Global,2017,All ages,Both,Urinary diseases and male infertility,Percent of total deaths,0.4847418
Global,2017,All ages,Both,Gynecological diseases,Percent of total deaths,0.0145831
Global,2017,All ages,Both,Hemoglobinopathies and hemolytic anemias,Percent of total deaths,0.186912
Global,2017,All ages,Both,"Endocrine, metabolic, blood, and immune disorders",Percent of total deaths,0.2583442
Global,2017,All ages,Both,Rheumatoid arthritis,Percent of total deaths,0.0845003
Global,2017,All ages,Both,Osteoarthritis,Percent of total deaths,0
Global,2017,All ages,Both,Low back pain,Percent of total deaths,0
Global,2017,All ages,Both,Neck pain,Percent of total deaths,0
Global,2017,All ages,Both,Gout,Percent of total deaths,0
Global,2017,All ages,Both,Other musculoskeletal disorders,Percent of total deaths,0.1322623
Global,2017,All ages,Both,Congenital birth defects,Percent of total deaths,1.0454063
Global,2017,All ages,Both,Dermatitis,Percent of total deaths,0
Global,2017,All ages,Both,Psoriasis,Percent of total deaths,0
Global,2017,All ages,Both,Scabies,Percent of total deaths,0
Global,2017,All ages,Both,Fungal skin diseases,Percent of total deaths,0
Global,2017,All ages,Both,Viral skin diseases,Percent of total deaths,0
Global,2017,All ages,Both,Acne vulgaris,Percent of total deaths,0
Global,2017,All ages,Both,Alopecia areata,Percent of total deaths,0
Global,2017,All ages,Both,Pruritus,Percent of total deaths,0
Global,2017,All ages,Both,Urticaria,Percent of total deaths,0
Global,2017,All ages,Both,Decubitus ulcer,Percent of total deaths,0.0363475
Global,2017,All ages,Both,Other skin and subcutaneous diseases,Percent of total deaths,0.007043379767999999
Global,2017,All ages,Both,Age-related and other hearing loss,Percent of total deaths,0
Global,2017,All ages,Both,Other sense organ diseases,Percent of total deaths,0
Global,2017,All ages,Both,Oral disorders,Percent of total deaths,0
Global,2017,All ages,Both,Sudden infant death syndrome,Percent of total deaths,0.0714247
Global,2017,All ages,Both,Road injuries,Percent of total deaths,2.2219143
Global,2017,All ages,Both,Other transport injuries,Percent of total deaths,0.1643303
Global,2017,All ages,Both,Falls,Percent of total deaths,1.2436616
Global,2017,All ages,Both,Drowning,Percent of total deaths,0.5276737
Global,2017,All ages,Both,"Fire, heat, and hot substances",Percent of total deaths,0.21562199999999998
Global,2017,All ages,Both,Poisonings,Percent of total deaths,0.1293577
Global,2017,All ages,Both,Exposure to mechanical forces,Percent of total deaths,0.243978
Global,2017,All ages,Both,Adverse effects of medical treatment,Percent of total deaths,0.2173023
Global,2017,All ages,Both,Animal contact,Percent of total deaths,0.1449132
Global,2017,All ages,Both,Foreign body,Percent of total deaths,0.2218385
Global,2017,All ages,Both,Other unintentional injuries,Percent of total deaths,0.1692386
Global,2017,All ages,Both,Self-harm,Percent of total deaths,1.4189188
Global,2017,All ages,Both,Interpersonal violence,Percent of total deaths,0.7245421
Global,2017,All ages,Both,Exposure to forces of nature,Percent of total deaths,0.0171651
Global,2017,All ages,Both,Environmental heat and cold exposure,Percent of total deaths,0.0953613
Global,2017,All ages,Both,Ebola,Percent of total deaths,1.431924102E-5
Global,2017,All ages,Both,Executions and police conflict,Percent of total deaths,0.028526400000000004
Global,2017,All ages,Both,Zika virus,Percent of total deaths,3.467865475E-5
Global,2017,All ages,Both,Guinea worm disease,Percent of total deaths,0
Global,2017,All ages,Both,Conflict and terrorism,Percent of total deaths,0.23187400000000002
Global,2017,All ages,Both,Typhoid and paratyphoid,Percent of total deaths,0.2429596
Global,2017,All ages,Both,Invasive Non-typhoidal Salmonella (iNTS),Percent of total deaths,0.1055769
Global,2017,All ages,Both,Headache disorders,Percent of total deaths,0
Global,2017,All ages,Both,Bacterial skin diseases,Percent of total deaths,0.1358617
Global,2017,All ages,Both,Blindness and vision impairment,Percent of total deaths,0
Global,2017,All ages,Both,Upper digestive system diseases,Percent of total deaths,0.5221382999999999
